© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Class I MHC mediated antigen processing and presentation	9.16E00	1.65E-01	-4.064	ANAPC10,ASB8,BLMH,CCNF,CDC27,CHUK,CUL1,CUL3,ELOC,FBXL13,FBXL20,FBXL4,FBXO6,FBXW7,FGA,FGG,HECTD2,HECTD3,ITCH,KBTBD6,KEAP1,MYLIP,NCF1,NPEPPS,PDIA3,PJA2,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RBCK1,RNF114,RNF4,RNF41,SEC23B,SEC24B,SEC24C,SEC31A,SKP1,SKP2,STX4,TAP1,TRAF7,TRIM41,TRIM69,UBA6,UBE2D2,UBE2E1,UBE2H,UBE2J2,VAMP8,WSB1	
Huntington's Disease Signaling	8.9E00	1.8E-01	0.243	AKT1,AP2A2,APAF1,ATF2,ATP5F1A,ATP5F1E,ATP5PF,BAX,CASP10,CASP5,CASP7,CASP8,CLTB,CREB3,CYCS,DCTN1,DNM2,GNB4,GOSR1,GRB2,HDAC4,HDAC7,HIP1,HSPA1A/HSPA1B,HSPA6,IFT57,MAPK3,PIK3R3,PIK3R5,POLR2C,POLR2F,PRKCI,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SDHC,SHC1,SOS2,SP1,YKT6	
RNA Polymerase II Transcription	8.86E00	2.28E-01	-4.459	AFF4,ALYREF,CCNK,CDC40,CDC73,CHTOP,CLP1,CPSF3,CSTF3,CTDP1,DDX39A,EIF4A3,ELOA,ELOC,ERCC2,GTF2A2,GTF2F1,MLLT1,NCBP2,NELFE,PAF1,POLR2C,POLR2F,RBM8A,RNPS1,SNRPB,SNRPE,SRSF2,SUPT16H,SUPT4H1,SUPT6H,TAF7,TCEA1,THOC5	
PTEN Regulation	8.78E00	2.27E-01	-4.315	AKT1,ATF2,CBX4,CSNK2A2,CSNK2B,EZH2,HDAC7,LAMTOR3,MAPK3,MLST8,MOV10,PHC2,PML,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RNF146,RRAGA,SUZ12,TNRC6A,TNRC6C,TRIM27,WWP2	
KEAP1-NFE2L2 pathway	8.44E00	2.75E-01	-4.600	AKT1,CSNK2A2,CSNK2B,CUL1,CUL3,DPP3,KEAP1,MAFK,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1,SKP2,VCP	
Histone Modification Signaling Pathway	8.32E00	1.73E-01	-0.980	ATF2,ATM,BAP1,BAZ1B,BAZ2A,BPTF,BRWD1,BUB1,CBX4,CHUK,CSNK2A2,CSNK2B,EZH1,EZH2,H1-1,H3-3A/H3-3B,H4C11,HASPIN,HAT1,HDAC4,HDGFL2,HP1BP3,KAT5,KDM2A,KDM6B,KMT2E,KMT5A,KMT5B,LRWD1,MLLT10,MSH6,NFKB2,ORC1,PHF19,PHF2,PHF20,PHF23,PRDM2,PRMT5,RNF20,RNF40,RPS6KA5,SETD2,SETDB2,SIRT5,SMARCA4,SND1,TRIM33,VEGFC,WDR5,YWHAG	
RHO GTPase cycle	8.29E00	1.51E-01	-5.093	ABR,AKAP13,ANKFY1,ANLN,ARAP1,ARFGAP3,ARHGAP1,ARHGAP19,ARHGAP25,ARHGAP26,ARHGAP31,ARHGAP5,ARHGAP9,ARHGEF11,ARHGEF2,CCT6A,CCT7,CDC42,CDC42EP4,CDC42SE2,CUL3,ELMO2,FAM91A1,FMNL1,GIT2,GJA1,GOLGA3,GPS1,GRB2,HINT2,HMOX2,IQGAP3,KIDINS220,MAP3K11,MTX1,NCF1,NDUFS3,NET1,NSFL1C,NUDC,OBSCN,OSBPL11,PIK3R3,PKN1,PKN2,PKN3,PREX1,RAB7A,RHOB,RHOQ,RNF20,SCFD1,SENP1,SHKBP1,SOS2,SPATA13,STK10,STK38,TUBA1B,TXNL1,VANGL1,VAV1,VAV3,VCP,VRK2,WASL,WWP2,YKT6	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	8.19E00	2.34E-01	-4.382	ATP5F1A,ATP5F1E,ATP5MC3,ATP5PD,ATP5PF,ATP5PO,COX5A,COX8A,CYB5B,CYC1,CYCS,ECSIT,ETFB,ETFDH,NDUFA13,NDUFA2,NDUFA8,NDUFAB1,NDUFB10,NDUFB3,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV3,NUBPL,SDHC,UQCRC1,UQCRH	
FLT3 Signaling in Hematopoietic Progenitor Cells	8E00	2.8E-01	-2.294	AKT1,ATF2,CREB3,EIF4E,EIF4EBP1,GRB2,MAP2K2,MAPK14,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,RPS6KA1,RPS6KA2,RPS6KA5,SHC1,SOS2,STAT3,STAT5A,STAT5B	
Acute Phase Response Signaling	7.91E00	2E-01	-3.024	AKT1,APOA2,APOH,C1QA,C1QC,C1S,C3,CHUK,CRP,ECSIT,FGA,FGG,GRB2,HMOX1,HMOX2,IL1R1,MAP2K2,MAPK14,MAPK3,NFKB2,NFKBIE,NOLC1,NRAS,ORM1,ORM2,PIK3R3,PTPN11,RAF1,RAP1A,RELA,RIPK1,SAA1,SHC1,SOCS4,SOS2,STAT3,TRADD	
Oxidative Phosphorylation	7.72E00	2.41E-01	-4.315	ATP5F1A,ATP5F1E,ATP5MC3,ATP5PD,ATP5PF,ATP5PO,COX5A,COX7A2,COX8A,CYB5B,CYC1,CYCS,NDUFA13,NDUFA2,NDUFA8,NDUFAB1,NDUFB10,NDUFB3,NDUFB7,NDUFB8,NDUFS3,NDUFS7,NDUFS8,NDUFV3,SDHC,UQCRC1,UQCRH	
S Phase	7.53E00	2.5E-01	-3.674	AKT1,CCNE1,CCNE2,CDK4,CUL1,E2F4,ESCO1,ESCO2,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1,SKP2,TFDP1	
Interleukin-1 family signaling	7.51E00	2.25E-01	-4.536	ALOX5,CHUK,CUL1,IL1R1,MAP3K3,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,PTPN11,PTPN2,PTPN6,PTPN7,RELA,SKP1,SKP2,STAT3,TBK1,TNIP2	
Neutrophil degranulation	7.3E00	1.43E-01	-5.821	ACAA1,ACLY,ALDH3B1,ALOX5,AMPD3,AP1M1,AP2A2,APAF1,ARHGAP9,ASAH1,BST2,C3,C3AR1,CAND1,CCT8,CD300A,CMTM6,COMMD9,CPPED1,CSNK2B,CSTB,DNAJC3,DYNLT1,FCER1G,FGR,GPI,GSDMD,HK3,HMOX2,HSPA1A/HSPA1B,HSPA6,IMPDH1,KCNAB2,KPNB1,LAMP1,LAMTOR3,LCN2,MANBA,MAPK14,MIF,MVP,NRAS,OLFM4,ORM1,ORM2,OSTF1,PDXK,PGAM1,PLEKHO2,PSMA5,PSMC3,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PTPN6,RAB44,RAB5C,RAB7A,RAP1A,RNASE3,SCAMP1,SIGLEC9,STK10,VAMP8,VAT1,VCP	
JAK/STAT Signaling	7.3E00	2.68E-01	-2.558	AKT1,CISH,GRB2,JAK3,MAP2K2,MAPK3,NFKB2,NRAS,PIAS1,PIK3R3,PIK3R5,PTPN11,PTPN6,RAF1,RAP1A,RELA,SHC1,SOCS4,SOS2,STAT3,STAT5A,STAT5B	
Ribonucleotide Reductase Signaling Pathway	7.26E00	1.99E-01	-1.915	AFAP1-AS1,AKT1,ATF2,ATM,BRAF,CCNF,CDK4,CREB3,CTNNB1,CUL1,E2F2,E2F4,E2F8,EIF4E,EIF4EBP1,H3-3A/H3-3B,MAPK14,MAPK3,MLST8,NFKB2,NFYC,NRAS,PARP10,PARP14,PARP4,PIK3R3,PIK3R5,SETD2,SKP1,SKP2,SMARCA4,SMARCD1,SP1,STAT3	
DNA Replication Pre-Initiation	7.17E00	2.4E-01	-4.200	ANAPC10,CDC27,CDC6,CDT1,KPNB1,MCM2,MCM3,MCM5,ORC1,ORC5,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,UBE2E1	
Acute Myeloid Leukemia Signaling	7.08E00	2.53E-01	-1.528	AKT1,BRAF,CEBPA,EIF4EBP1,GRB2,IDH2,KITLG,MAP2K2,MAP2K5,MAPK3,NFKB2,NRAS,PIK3R3,PIK3R5,PML,RAF1,RAP1A,RELA,RPS6KB2,SOS2,STAT3,STAT5A,STAT5B	
Prostate Cancer Signaling	6.93E00	2.28E-01	-3.530	ABL1,AKT1,ATF2,CCNE1,CCNE2,CHUK,CREB3,CTNNB1,E2F2,E2F4,GRB2,HDAC4,HDAC7,MAP2K2,MAPK3,NFKB2,NFKBIE,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,RBL1,RELA,SOS2,TFDP1	
HER-2 Signaling in Breast Cancer	6.9E00	1.76E-01	-1.859	AKT1,BRAF,CASP7,CCNE1,CCNE2,CDC42,CDK4,CHUK,COX5A,COX7A2,COX8A,ELF2,FCER1G,FGR,GRB2,GSK3A,HCK,KPNB1,MAP2K2,MAPK3,MLST8,NFKB2,NFKBIE,NRAS,NUP43,NUP54,NUP58,NUP93,PIK3R3,PIK3R5,PRKCI,RAF1,RAP1A,RBL1,RELA,RPS6KB2,SOS2,SP1,STAT3,TPR	
Cyclins and Cell Cycle Regulation	6.9E00	2.56E-01	-1.732	ABL1,ATM,CCNE1,CCNE2,CDK4,CUL1,E2F2,E2F4,E2F8,HDAC4,HDAC7,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RAF1,RBL1,SKP1,SKP2,TFDP1,TGFB2	
NIK-->noncanonical NF-kB signaling	6.9E00	3E-01	-3.771	CHUK,CUL1,NFKB2,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1	
Inhibition of ARE-Mediated mRNA Degradation Pathway	6.74E00	1.96E-01	-0.243	AKT1,CNOT10,CNOT3,CNOT8,DIS3,EXOSC4,EXOSC7,FASLG,MAPK14,MAPK3,PARN,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PRKACA,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,YWHAG	
Signaling by NTRK1 (TRKA)	6.72E00	2.59E-01	-2.400	AP2A2,BRAF,CRK,DNM2,DUSP7,GRB2,KIDINS220,MAP2K2,MAP2K5,MAPK14,MAPK3,MAPKAPK3,NRAS,PPP2CA,PPP2R5D,RAP1A,RPS6KA1,RPS6KA2,RPS6KA5,SHC1,STAT3	
Regulation of mitotic cell cycle	6.71E00	2.5E-01	-3.411	ANAPC10,BUB3,CDC14A,CDC27,CUL1,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1,SKP2,UBE2E1	
IL-2 Signaling	6.66E00	2.9E-01	-3.000	AKT1,CSNK2A2,CSNK2B,GRB2,JAK3,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,SHC1,SOS2,STAT5A,STAT5B,SYK	
Small Cell Lung Cancer Signaling	6.62E00	2.4E-01	-2.714	ABL1,AKT1,APAF1,CCNE1,CCNE2,CDK4,CHUK,CYC1,CYCS,E2F2,E2F4,HDAC4,HDAC7,NFKB2,NFKBIE,PIK3R3,PIK3R5,RBL1,RELA,RXRA,SKP2,TFDP1,TRAF3	
Role of Tissue Factor in Cancer	6.59E00	1.79E-01	-1.151	AKT1,BRAF,CHUK,EIF4E,FGA,FGG,FGR,HCK,ITGA6,LIMK1,MAP2K2,MAP2K5,MAPK14,MAPK3,NFKB2,NRAS,P4HB,PIK3R3,PIK3R5,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PTPN11,RAF1,RAP1A,RBL1,RPS6KA1,RPS6KA2,RPS6KA5,RPS6KB2,STAT5A,STAT5B,TFPI,TGFB2,VEGFC	
NGF Signaling	6.47E00	2.17E-01	-3.138	AKT1,ATF2,BAX,CDC42,CHUK,CREB3,CRK,GRB2,MAP2K2,MAP3K11,MAP3K3,MAPK3,NFKB2,NRAS,PIK3R3,PIK3R5,PTPN11,RAF1,RAP1A,RELA,RPS6KA1,RPS6KA2,RPS6KA5,RPS6KB2,SHC1,SOS2	
C-type lectin receptors (CLRs)	6.35E00	2E-01	-4.041	AHCYL1,C8orf44-SGK3/SGK3,CASP8,CHUK,CUL1,FCER1G,NFKB2,NRAS,PRKACA,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RAF1,RELA,RPS6KA5,SKP1,SYK,UBE2D2	
Degradation of beta-catenin by the destruction complex	6.35E00	2.39E-01	-4.146	CSNK1A1,CTNNB1,CUL1,PPP2CA,PPP2R5D,PPP2R5E,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1,SKP2	
BAG2 Signaling Pathway	6.34E00	2.47E-01	-0.378	HSPA1A/HSPA1B,HSPA6,MAPK14,MAPK3,NFKB2,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,RELA,SP1	
Regulation of RUNX2 expression and activity	6.17E00	2.6E-01	-3.300	CUL1,ESRRA,FBXW7,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1,SKP2	
ERK/MAPK Signaling	6.17E00	1.72E-01	-1.219	ATF2,BRAF,CREB3,CRK,EIF4E,EIF4EBP1,ELF2,GRB2,H3-3A/H3-3B,ITGA6,LAMTOR3,MAP2K2,MAPK3,MKNK1,NRAS,PIK3R3,PIK3R5,PPP1R10,PPP1R14A,PPP1R14B,PPP2CA,PPP2R2A,PPP2R5D,PPP2R5E,PRKACA,PRKCI,RAF1,RAP1A,RAPGEF3,RPS6KA1,RPS6KA5,SHC1,SOS2,SRF,STAT3,VRK2,YWHAG	
Chronic Myeloid Leukemia Signaling	6.15E00	1.58E-01	-3.618	ABL1,ADAR,ADCY3,AKT1,CDK4,CEBPA,CHUK,CRK,CTNNB1,DVL3,E2F2,E2F4,E2F8,GRB2,HCK,HDAC4,HDAC7,ITCH,KLF4,LIG3,MAP2K2,MAPK3,MLST8,NFKB2,NRAS,PDIA3,PIK3R3,PIK3R5,PLCD3,PTPN11,PTPN6,RAF1,RAN,RAP1A,RBL1,RCC1,RELA,SKP2,SOS2,STAT3,STAT5A,STAT5B,TFDP1,TGFB2	
Insulin Receptor Signaling	6.15E00	2E-01	-2.600	ACLY,AKT1,CRK,EIF2B1,EIF4E,EIF4EBP1,GRB2,GSK3A,GYS1,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PPP1R10,PPP1R14A,PPP1R14B,PRKACA,PRKCI,PTPN11,RAF1,RAP1A,RHOQ,RPS6KB2,SHC1,SOS2,STX4,STXBP4	
Pancreatic Adenocarcinoma Signaling	6.03E00	2.06E-01	-2.840	ABL1,AKT1,CCNE1,CCNE2,CDC42,CDK4,E2F2,E2F4,E2F8,GRB2,HDAC4,HDAC7,HMOX1,JAK3,MAP2K2,MAPK3,NFKB2,PIK3R3,PIK3R5,RAF1,RBL1,RELA,STAT3,TFDP1,TGFB2,VEGFC	
TWEAK Signaling	6.02E00	3.51E-01	-1.941	APAF1,BAG4,CASP7,CASP8,CHUK,CYCS,FADD,NFKB2,NFKBIE,RELA,RIPK1,TRADD,TRAF3	
Cellular response to hypoxia	5.98E00	2.53E-01	-3.441	CITED2,EGLN1,ELOC,HIGD1A,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,UBE2D2	
Hedgehog 'off' state	5.85E00	2.12E-01	-2.985	ADCY3,CSNK1A1,CUL1,IFT57,IFT88,ITCH,PRKACA,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SKP1,SKP2,TUBA1B	
Protein Sorting Signaling Pathway	5.85E00	1.8E-01	-1.768	ADCY3,AP1M1,AP3D1,ARCN1,ARFGEF1,CDC42,CLTB,COPB2,COPE,COPG1,DNM2,FGR,GCC1,HCK,HMOX1,MIA2,PREB,PRKACA,SAR1A,SEC23B,SEC24B,SEC24C,SEC31A,SNX1,SNX13,SNX24,SNX6,SNX8,TMED2,TMED3,VPS35,WASHC5	
Melanocyte Development and Pigmentation Signaling	5.85E00	2.24E-01	-1.706	ADCY3,ATF2,CREB3,CRK,GRB2,KITLG,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,PRKACA,PTPN11,PTPN6,RAF1,RAP1A,RPS6KA1,RPS6KA2,RPS6KA5,RPS6KB2,SHC1,SOS2	
Coronavirus Pathogenesis Pathway	5.84E00	1.72E-01	1.521	ABL1,BAX,BST2,CASP8,CCL2,CCNE1,CCNE2,CDK4,CHUK,E2F2,E2F4,E2F8,EIF4E,FASLG,HDAC4,HDAC7,KPNB1,MAPK14,MAPK3,NFKB2,NFKBIE,OAS1,OAS2,RAB7A,RBL1,RELA,RIPK1,RPS19,RPS27L,STAT3,TBK1,TFDP1,TICAM1,TRAF3,TRIM25	
MAPK6/MAPK4 signaling	5.73E00	2.28E-01	0.378	CDC14A,CDC42,MOV10,PRKACA,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,TNRC6A,TNRC6C,XPO1	
Mitochondrial protein import	5.72E00	2.66E-01	-4.123	ATP5F1A,CHCHD10,CHCHD2,CHCHD3,CHCHD4,CHCHD7,CYC1,GFER,HSPD1,MTX1,NDUFB8,TIMM10,TIMM17A,TIMM44,TIMM8B,TOMM22,TOMM5	
Senescence Pathway	5.66E00	1.51E-01	-0.160	AKT1,ANAPC10,ATM,BRAF,CACNB1,CCNE1,CCNE2,CDC27,CDK4,CHUK,DHCR24,E2F2,E2F4,E2F8,EIF4E,EIF4EBP1,ELF2,EZH2,GADD45A,MAP2K2,MAP2K5,MAPK14,MAPK3,MAPKAPK3,MRE11,NFKB2,NRAS,PCGF6,PHF19,PIK3R3,PIK3R5,PML,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,RAF1,RAP1A,RBL1,RPS6KA5,SAA1,SMAD5,TBK1,TGFB2	
RAF/MAP kinase cascade	5.65E00	1.56E-01	-4.427	BRAF,BRAP,CUL3,DUSP5,DUSP7,FGA,FGG,GRB2,JAK3,KITLG,LAMTOR3,LAT,MAP2K2,MAP3K11,MAPK3,NRAS,PEA15,PHB1,PPP2CA,PPP2R5D,PPP2R5E,PPP5C,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,PTPN7,RAF1,RAP1A,RGL1,SHC1	
Autophagy	5.64E00	1.66E-01	-3.430	AKT1,ATF2,ATG13,ATM,CAMKK2,CREB3,GORASP2,GSK3A,KAT5,LAMP1,MAP2K2,MAPK3,MLST8,NFKB2,PIK3R3,PIK3R5,PLEKHM1,PPM1D,PPP2CA,PPP2R2A,PPP2R2D,PPP2R5D,PPP2R5E,PRKACA,RAB7A,RAF1,RB1CC1,RIPK1,TBK1,TFEB,TGFB2,TICAM1,TRAF3,VAMP8,VPS16,VPS18	
Hedgehog 'on' state	5.63E00	2.33E-01	-3.578	CDC73,CSNK1A1,CUL3,GRK2,IQCE,ITCH,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5	
ERB2-ERBB3 Signaling	5.62E00	2.62E-01	-2.668	AKT1,GRB2,GSK3A,JAK3,MAP2K2,MAPK3,NRAS,PIK3R3,PIK3R5,RAF1,RAP1A,SHC1,SOS2,SP1,STAT3,STAT5A,STAT5B	
Metabolism of polyamines	5.55E00	2.71E-01	-3.500	AZIN1,PSMA5,PSMB10,PSMB4,PSMB5,PSMC3,PSMC4,PSMC5,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD4,PSMD5,SRM	
