© 2000-2024 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Transcriptional regulation by RUNX1	1.37E01	2.76E-01	-3.904	CLDN5,CTSL,GATA2,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,LGALS3,MYB,PCGF5,PHC3,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RUNX1,RYBP,SMARCA2,SMARCD3,SOCS3,SPI1,TAL1,UBC	
Estrogen Receptor Signaling	1.37E01	1.86E-01	0.277	AKT3,ATP5F1B,ATP5PB,CDKN1A,CREB5,CTBP2,EGF,FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,GUCY1A1,GUCY1B1,HNRNPD,HSP90AA1,HSP90B1,JUN,KRAS,LEPR,LIMK2,MCU,MED12L,MED13L,MED30,MMP8,MMP9,MT-ATP6,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,MYL12A,NCOA2,NDUFA5,NDUFA6,NDUFB1,NDUFB2,NDUFB6,NDUFB9,NDUFS6,NRIP1,PAK1,PCNA,PIK3C3,PIK3CB,PLCB4,PLCH1,PPP1CB,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,PTEN,RALB,RAP1B,RAP2B,RELB,ROCK2,SDHB,SRA1,TBL1XR1,UQCRFS1	
Protein Kinase A Signaling	1.31E01	1.82E-01	1.750	ANAPC11,ANAPC13,ANAPC5,CALM1 (includes others),CDC14B,CDC25A,CDC26,CHP1,CREB5,DUSP1,DUSP10,DUSP22,GNAI3,GNAQ,GNAS,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GSK3B,GUCY1A1,GUCY1B1,H1-10,H1-2,H1-3,H1-4,H1-5,H3-3A/H3-3B,H3C3,ITPR1,ITPR2,MTMR3,MYL12A,MYLK,NFAT5,NFKBIA,NFKBIB,PDE3A,PDE5A,PHKB,PLCB4,PLCH1,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP3R1,PRKACB,PRKAR1A,PRKAR2B,PTEN,PTK2,PTPN1,PTPN12,PTPN18,PTPRA,PTPRF,PTPRJ,PTPRS,PXN,PYGB,RAP1B,RELB,ROCK2,SIRPA,TDP2,TGFB1,UBASH3B,VASP,YWHAB,YWHAE,YWHAZ	
Sirtuin Signaling Pathway	1.29E01	2.06E-01	-1.896	ABCA1,ADAM10,APP,ATG101,ATG3,ATP5F1B,ATP5PB,BCL2L11,GABARAP,GABARAPL2,GADD45B,GLS,GSK3B,H1-10,H1-2,H1-3,H1-4,H1-5,H3-3A/H3-3B,H3C3,JUN,LDHA,MAP1LC3B,MAP1LC3B2,MT-ATP6,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,NAMPT,NBN,NDUFA5,NDUFA6,NDUFB1,NDUFB2,NDUFB6,NDUFB9,NDUFS6,PDK1,PFKFB3,PPARG,PRKAA1,RELB,SDHB,SMARCA5,TIMM13,TSPO,TUBA1A,TUBA1C,TUBA4A,TUBA8,UQCRFS1,VDAC1,VDAC3,XRCC5,XRCC6	
Deubiquitination	1.27E01	2.13E-01	-4.543	ARRB2,BARD1,CCNA2,CDC20,CDC25A,CDK1,CLSPN,H2AC12,H2AC14,H2AC20,H2AC21,H2AC6,H2BC13,H2BC14,H2BC17,H2BC18,H2BC26,H2BC3,IFIH1,NFKBIA,NLRP3,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PTEN,RAD23A,SMAD2,TGFB1,TNFAIP3,TNIP1,UBC,UBE2D1,UIMC1,USP10,USP12,USP16,USP33,USP34,USP4,VCPIP1,VDAC1,VDAC3	
Cachexia Signaling Pathway	1.22E01	1.85E-01	-3.638	ACVR1,ACVR2A,AGO4,AKT3,CASP1,CASP4,CEBPB,CEBPD,DDIT4,EIF2AK2,EIF2S1,EIF2S2,FGB,GNAS,GSK3B,GUCY1A1,GUCY1B1,HMGB1,HSP90AA1,HSP90B1,HSPA5,HSPA9,IFNGR2,IL18RAP,IL1B,IL1RN,IRS1,MAP1LC3B,MEF2C,MYD88,PIK3C3,PIK3CB,PPARG,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PTEN,SERPINA1,SMAD2,SOCS3,STAT1,STAT6,TGFB1,TLR4,TNFRSF1A,TNFSF10,TNFSF13B,TNFSF14,TNFSF4,XBP1	
Transcriptional regulation of granulopoiesis	1.18E01	4.31E-01	-1.706	CDKN1A,CEBPB,CEBPE,CSF3R,FLI1,GATA2,GFI1,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,MYB,RARA,RUNX1,SPI1,TAL1	
Mitotic G1 phase and G1/S transition	1.18E01	2.75E-01	-4.459	AKT3,CCNA2,CCND2,CDC25A,CDK1,CDK6,CDKN1A,CDKN1B,DHFR,FBXO5,LIN54,MAX,MYBL2,ORC4,PCNA,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RRM2,TOP2A,TYMS,UBC	
Class I MHC mediated antigen processing and presentation	1.18E01	1.81E-01	-4.366	ANAPC11,ANAPC13,ANAPC5,B2M,CALR,CD36,CDC20,CDC26,CTSL,CUL5,CYBA,DTX3L,ELOB,FBXL5,FCGR1A,FGB,HERC1,HERC5,HMGB1,HSPA5,KLHL2,LNPEP,LY96,MYD88,NCF2,NCF4,PIK3C3,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,RNF19B,RNF6,S100A8,S100A9,SEC13,SEC24D,SNAP23,SOCS3,TLR1,TLR4,TRIM21,UBC,UBE2D1,UBE2D3,UBE2E3,UBE2F,UBE2K,UBE2L6,UBE2M,UBE2N,UBE2Q2,UBE2S,VAMP3	
IL-8 Signaling	1.16E01	2.24E-01	-2.466	AKT3,ANGPT1,ARRB2,AZU1,CCND2,CXCR1,CXCR2,DEFA1 (includes others),FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,ICAM1,IQGAP1,ITGB2,JUN,KRAS,LASP1,LIMK2,MAP4K4,MMP9,MPO,NCF2,NFKBIA,NFKBIB,PAK2,PIK3C3,PIK3CB,PLD1,PTK2,RAB11FIP2,RAC2,RALB,RAP1B,RAP2B,RHOG,ROCK2,VASP	
Mitotic G2-G2/M phases	1.13E01	2.26E-01	-3.130	CCNA2,CCNB2,CDC25A,CDK1,CDKN1A,CENPF,DCTN3,DYNLL1,FOXM1,HSP90AA1,LIN54,MYBL2,NEK2,PLK1,PPP1CB,PRKAR2B,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,SFI1,TPX2,TUBA1A,TUBA1C,TUBA4A,TUBA8,TUBB,TUBB1,TUBGCP4,UBC,YWHAE	
Kinetochore Metaphase Signaling Pathway	1.13E01	2.91E-01	-1.512	ANAPC11,ANAPC13,ANAPC5,AURKB,BIRC5,CDC20,CDC26,CDK1,CENPE,CENPT,ENSA,H2AC20,H2AC21,H2AX,H2AZ1,H2AZ2,INCENP,MACROH2A1,MAD2L1,MXD3,NDC80,NEK2,PLK1,PPP1CA,PPP1CB,PPP1R11,PPP1R7,PPP2R5C,PTTG1,RAD21,SKA1,SPC24	
C-type lectin receptors (CLRs)	1.11E01	2.55E-01	-4.333	BCL10,CALM1 (includes others),CLEC4D,CLEC4E,ICAM3,IL1B,ITPR1,ITPR2,KRAS,NFKBIA,PAK1,PAK2,PPP3R1,PRKACB,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PYCARD,RELB,UBC,UBE2D1,UBE2M,UBE2N	
KEAP1-NFE2L2 pathway	1.06E01	3.08E-01	-2.646	AKT3,BACH1,CDKN1A,FBXL17,GSK3B,MAP1LC3B,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,SESN2,TRIM21,UBC,UBXN7	
MAPK6/MAPK4 signaling	1.05E01	3.04E-01	-0.632	AGO4,CDC14B,CDC42EP3,CDK1,DNAJB1,JUN,PAK1,PAK2,PRKACB,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,SEPTIN7,UBC	
Protein Ubiquitination Pathway	1.05E01	1.94E-01	NaN	ANAPC11,ANAPC5,B2M,BIRC6,CDC20,DNAJA1,DNAJB1,DNAJB11,DNAJB6,DNAJC13,DNAJC16,DNAJC5,ELOB,HSP90AA1,HSP90B1,HSPA5,HSPA9,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,RBX1,UBC,UBE2D1,UBE2D3,UBE2E3,UBE2F,UBE2K,UBE2L6,UBE2M,UBE2N,UBE2Q2,UBE2S,USP10,USP12,USP16,USP31,USP33,USP34,USP38,USP4	
fMLP Signaling in Neutrophils	1.04E01	2.6E-01	1.225	ARPC2,ARPC3,CALM1 (includes others),CHP1,FPR1,FPR2,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,ITPR1,ITPR2,KRAS,NCF2,NFAT5,NFKBIA,NFKBIB,PIK3C3,PIK3CB,PLCB4,PPP3R1,RAC2,RALB,RAP1B,RAP2B,RELB	
Response to elevated platelet cytosolic Ca2+	1.03E01	2.58E-01	2.401	ACTN1,ANXA5,APP,CALM1 (includes others),CALU,CD109,CD36,CD9,CYB5R1,EGF,ENDOD1,F13A1,F5,FGB,FN1,GTPBP2,HRG,HSPA5,LY6G6F,MANF,PDGFA,PF4,PPBP,PROS1,RAB27B,SERPINA1,SERPING1,TAGLN2,TGFB1,THBS1,TLN1,TMSB10/TMSB4X,TUBA4A,VCL	
Huntington's Disease Signaling	1.03E01	1.9E-01	2.236	AKT3,ATP5F1B,ATP5PB,CASP1,CASP4,CREB5,DNAJB1,DNAJC5,DNM1L,DNM3,EGF,GLS,GNAQ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,HDAC9,HSPA5,HSPA9,ITPR1,JUN,PIK3C3,PIK3CB,PLCB4,POLR2J,POLR2K,POLR2L,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RASA1,SDHB,TGM2,UBC,UBE2S,VAMP3	
Senescence-Associated Secretory Phenotype (SASP)	9.87E00	3.29E-01	-3.674	ANAPC11,ANAPC15,ANAPC5,CCNA2,CDC26,CDK6,CDKN1A,CDKN1B,CEBPB,FOS,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,JUN,UBC,UBE2D1,UBE2S	
Glucocorticoid Receptor Signaling	9.75E00	1.48E-01	NaN	AKT3,ANXA1,ATP5F1B,ATP5PB,B2M,BCL2L11,BRD7,CCL5,CDKN1A,CHP1,CSF2RB,CXCR1,CXCR2,DUSP1,EGF,FCGR1A,FOS,GTF2E2,H3-3A/H3-3B,H3C3,HLA-DOA,HMGB1,HP,HSP90AA1,HSP90B1,HSPA5,HSPA9,ICAM1,IFNAR1,IL18RAP,IL1B,IL1RN,JUN,KRAS,MMP8,MMP9,MT-ATP6,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,NCOA2,NDUFA5,NDUFA6,NDUFB1,NDUFB2,NDUFB6,NDUFB9,NDUFS6,NFAT5,NFKBIA,NFKBIB,NRIP1,PDK4,PIK3C3,PIK3CB,PLA2G12A,PLA2G4A,POLR2J,POLR2K,POLR2L,PPARG,PPP3R1,PRKAA1,PRKACB,RALB,RAP1B,RAP2B,RARA,RARG,SDHB,SLPI,SMAD2,SMARCA2,SMARCD3,SRA1,STAT1,SUMO1,TAF12,TAF15,TGFB1,UQCRFS1	
Oxidative Phosphorylation	9.66E00	2.68E-01	-0.730	ATP5F1B,ATP5ME,ATP5PB,COX17,COX5B,COX6A1,COX6C,COX7A2L,COX7C,MT-ATP6,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,NDUFA5,NDUFA6,NDUFB1,NDUFB2,NDUFB6,NDUFB9,NDUFS6,SDHB,UQCRFS1,UQCRQ	
RAF/MAP kinase cascade	9.64E00	1.91E-01	-1.980	ANGPT1,APBB1IP,ARRB2,CALM1 (includes others),CSF2RB,DLG1,DUSP1,DUSP10,EGF,FGB,FN1,IQGAP1,IRS1,KRAS,LAMTOR2,MARK3,PDGFA,PIK3CB,PPP1CB,PPP2R5C,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,PTK2,PTPRA,RANBP9,RAP1B,RASA1,RASA3,RASGRP4,RBX1,SHOC2,TLN1,UBC,VCL,YWHAB	
Regulation of Apoptosis	9.56E00	3.77E-01	-4.025	ARHGAP10,PAK2,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,UBC	
S Phase	9.55E00	2.8E-01	-3.780	AKT3,CCNA2,CDC25A,CDCA5,CDKN1A,CDKN1B,GSK3B,LIN54,MAX,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RAD21,UBC	
Smooth Muscle Contraction	9.54E00	4.19E-01	1.414	ANXA1,ANXA2,CALD1,CALM1 (includes others),DYSF,GUCY1A1,GUCY1B1,ITGB5,MYL12A,MYLK,PAK1,PAK2,PDE5A,PXN,TLN1,TPM1,TPM4,VCL	
TP53 Regulates Metabolic Genes	9.47E00	2.95E-01	-1.177	AGO4,AKT3,COX5B,COX6A1,COX6C,COX7A2L,COX7C,DDIT4,GLS,LAMTOR2,LAMTOR4,LAMTOR5,MT-CO1,MT-CO2,MT-CO3,PRDX2,PRDX5,PRKAA1,PTEN,RHEB,RRAGD,SESN2,TXN,YWHAB,YWHAE,YWHAZ	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	9.41E00	2.5E-01	0.000	ATP5F1B,ATP5ME,ATP5PB,COX5B,COX6A1,COX6C,COX7A2L,COX7C,ETFA,MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND5,MT-ND6,NDUFA5,NDUFA6,NDUFB1,NDUFB2,NDUFB6,NDUFB9,NDUFS6,SDHB,TIMMDC1,UQCRFS1,UQCRQ	
Ephrin Receptor Signaling	9.39E00	2.08E-01	0.343	ABI1,ADAM10,AKT3,ANGPT1,ARPC2,ARPC3,CREB5,CRKL,EGF,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GRINA,ITGA2,ITGB1,ITGB2,ITGB5,KRAS,LIMK2,MAP4K4,NCK2,PAK1,PAK2,PDGFA,PTK2,PXN,RAC2,RALB,RAP1B,RAP2B,RASA1,ROCK2,WIPF1	
Signaling by Rho Family GTPases	9.34E00	1.87E-01	0.000	ARHGEF12,ARPC2,ARPC3,CDC42EP3,CIT,FOS,GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,IQGAP1,ITGA2,ITGB1,ITGB2,ITGB5,JUN,LIMK2,MAP3K20,MYL12A,MYLK,NCF2,PAK1,PAK2,PARD3,PIK3C3,PIK3CB,PIP4K2A,PIP5K1C,PLD1,PTK2,RAC2,RELB,RHOG,ROCK2,SEPTIN11,SEPTIN2,SEPTIN7,SLC9A1,STMN1,VIM,WASF3,WIPF1	
Mitochondrial Dysfunction	9.32E00	1.72E-01	0.391	APP,ATP5F1B,ATP5ME,ATP5PB,BID,CALM1 (includes others),CHP1,COX17,COX5B,COX6A1,COX6C,COX7A2L,COX7C,CPOX,CREB5,DLD,DNM1L,GPD2,GSTA1,GSTP1,ITPR1,ITPR2,LRRK2,MAP3K5,MCU,MGST1,MT-ATP6,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,NDUFA5,NDUFA6,NDUFB1,NDUFB2,NDUFB6,NDUFB9,NDUFS6,PIK3C3,PIK3CB,PPARG,PPP3R1,PRDX6,PRKAA1,PRKACB,PRKAR1A,PRKAR2B,SDHB,UQCRFS1,UQCRQ,VDAC1,VDAC3	
DNA Damage/Telomere Stress Induced Senescence	9.06E00	3.57E-01	-3.578	CCNA2,CDKN1A,CDKN1B,H1-2,H1-3,H1-4,H1-5,H2AC14,H2AC20,H2AC6,H2AX,H2AZ2,H2BC13,H2BC14,H2BC17,H2BC26,H2BC3,HMGA1,LMNB1,NBN	
Cellular response to hypoxia	8.81E00	3.07E-01	-3.962	EGLN3,ELOB,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3,RBX1,UBC,UBE2D1,UBE2D3	
RHO GTPase cycle	8.62E00	1.53E-01	0.120	ABI1,ABI2,ACTN1,ARHGAP10,ARHGAP11A,ARHGAP18,ARHGAP21,ARHGAP23,ARHGAP30,ARHGAP32,ARHGDIA,ARHGEF12,ARL13B,BASP1,BLTP3B,BRK1,C1QBP,CDC42BPB,CDC42EP3,CIT,CKAP4,CYBA,DAAM1,DIAPH1,DOCK4,ECT2,EFHD2,EMC3,ERBIN,FAM13B,FGD4,FLOT1,FLOT2,HNRNPC,HSP90AA1,IQGAP1,IQGAP2,ITGB1,LMNB1,MPP7,NCF2,NCF4,NCK2,NCKAP1,NDUFA5,PAK1,PAK2,PDE5A,PEAK1,PKP4,PLD1,RAC2,RACGAP1,RALBP1,RHOG,ROCK2,SNAP23,STIP1,STOM,TAOK3,TMOD3,TMPO,TPM4,VAMP3,VAPB,VIM,WASF3,WDR11,WIPF1	
α-Adrenergic Signaling	8.61E00	2.57E-01	1.604	ADRA2A,CALM1 (includes others),GNAI3,GNAO1,GNAQ,GNAS,GNAZ,GNB1,GNB2,GNB5,GNG10,GNG11,GNG2,GNG5,GUCY1A1,GUCY1B1,ITPR1,ITPR2,KRAS,PHKB,PRKACB,PRKAR1A,PRKAR2B,PYGB,RALB,RAP1B,RAP2B,SLC8A1	
Metabolism of polyamines	8.6E00	3.39E-01	-3.578	AMD1,OAZ2,ODC1,PSMA3,PSMA4,PSMA7,PSMB2,PSMB3,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMD3,PSMD7,PSMD8,PSME1,PSME2,PSME3	
